#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
mealy parrot|Amazona farinosa|Psittaciformes|Psittacidae|Amazona|farinosa|177793|Avian
Brazilian teal|Amazonetta brasiliensis|Anseriformes|Anatidae|Amazonetta|brasiliensis|175238|Avian
grosbeak weaver|Amblyospiza albifrons|Passeriformes|Ploceidae|Amblyospiza|albifrons|558548|Avian
thick-billed weaver|Amblyospiza albifrons|Passeriformes|Ploceidae|Amblyospiza|albifrons|558548|Avian
yellow-browed sparrow|Ammodramus aurifrons|Passeriformes|Emberizidae|Ammodramus|aurifrons|558550|Avian
Le Conte's sparrow|Ammodramus leconteii|Passeriformes|Emberizidae|Ammodramus|leconteii|179345|Avian
seaside sparrow|Ammodramus maritimus|Passeriformes|Emberizidae|Ammodramus|maritimus|179346|Avian
Reichenbach's sunbird|Anabathmis reichenbachii|Passeriformes|Nectariniidae|Anabathmis|reichenbachii|916392|Avian
bamboo foliage-gleaner|Anabazenops dorsalis|Passeriformes|Furnariidae|Anabazenops|dorsalis|711572|Avian
crested foliage-gleaner|Anabazenops dorsalis|Passeriformes|Furnariidae|Anabazenops|dorsalis|711572|Avian
northern pintail duck|Anas acuta|Anseriformes|Anatidae|Anas|acuta|175074|Avian
American wigeon|Anas americana|Anseriformes|Anatidae|Anas|americana|175094|Avian
white-cheeked pintail|Anas bahamensis|Anseriformes|Anatidae|Anas|bahamensis|175078|Avian
silver Bahama pintail|Anas bahamensis bahamensis|Anseriformes|Anatidae|Anas|bahamensis bahamensis|175079|Avian
green-winged teal|Anas carolinensis|Anseriformes|Anatidae|Anas|carolinensis|NA|Avian
chestnut teal|Anas castanea|Anseriformes|Anatidae|Anas|castanea|175100|Avian
northern shoveler|Anas clypeata|Anseriformes|Anatidae|Anas|clypeata|175096|Avian
common teal|Anas crecca|Anseriformes|Anatidae|Anas|crecca|NA|Avian
Eurasian teal|Anas crecca|Anseriformes|Anatidae|Anas|crecca|175081|Avian
green-winged teal|Anas crecca|Anseriformes|Anatidae|Anas|crecca|175081|Avian
cinnamon teal|Anas cyanoptera|Anseriformes|Anatidae|Anas|cyanoptera|175089|Avian
blue-winged teal|Anas discors|Anseriformes|Anatidae|Anas|discors|175086|Avian
red-billed teal|Anas erythrorhyncha|Anseriformes|Anatidae|Anas|erythrorhyncha|553921|Avian
falcated duck|Anas falcata|Anseriformes|Anatidae|Anas|falcata|175080|Avian
Chilean teal|Anas flavirostris|Anseriformes|Anatidae|Anas|flavirostris|NA|Avian
speckled teal|Anas flavirostris|Anseriformes|Anatidae|Anas|flavirostris|175102|Avian
yellow-billed teal|Anas flavirostris|Anseriformes|Anatidae|Anas|flavirostris|NA|Avian
Baikal teal|Anas formosa|Anseriformes|Anatidae|Anas|formosa|175085|Avian
Mottled Duck|Anas fulvigula|Anseriformes|Anatidae|Anas|fulvigula|175070|Avian
yellow-billed pintail|Anas georgica|Anseriformes|Anatidae|Anas|georgica|175103|Avian
grey teal|Anas gracilis|Anseriformes|Anatidae|Anas|gracilis|553920|Avian
Eurasian wigeon|Anas penelope|Anseriformes|Anatidae|Anas|penelope|175092|Avian
red shoveler|Anas platalea|Anseriformes|Anatidae|Anas|platalea|175109|Avian
mallard duck|Anas platyrhynchos|Anseriformes|Anatidae|Anas|platyrhynchos|175063|Avian
domestic duck|Anas platyrhynchos domesticus|Anseriformes|Anatidae|Anas|platyrhynchos domesticus|NA|Avian
domestic mallard duck|Anas platyrhynchos domesticus|Anseriformes|Anatidae|Anas|platyrhynchos domesticus|NA|Avian
domestic mallard duck|Anas platyrhynchos platyrhynchos|Anseriformes|Anatidae|Anas|platyrhynchos platyrhynchos|175064|Avian
mallard duck-northern pintail duck hybrid|Anas platyrhynchos x Anas acuta|Anseriformes|Anatidae|Anas|platyrhynchos|NA|Avian
mallard-American black duck hybrid|Anas platyrhynchos x Anas rubripes|Anseriformes|Anatidae|Anas|platyrhynchos|NA|Avian
mallard duck-duck hybrid|Anas platyrhynchos x Anas sp.|Anseriformes|Anatidae|Anas|platyrhynchos|NA|Avian
mallard duck-gadwall duck hybrid|Anas platyrhynchos x Anas strepera|Anseriformes|Anatidae|Anas|platyrhynchos|NA|Avian
Indian spot-billed duck|Anas poecilorhyncha|Anseriformes|Anatidae|Anas|poecilorhyncha|553918|Avian
spot-billed duck|Anas poecilorhyncha|Anseriformes|Anatidae|Anas|poecilorhyncha|553918|Avian
garganey|Anas querquedula|Anseriformes|Anatidae|Anas|querquedula|175093|Avian
American black duck|Anas rubripes|Anseriformes|Anatidae|Anas|rubripes|175068|Avian
common black duck|Anas rubripes|Anseriformes|Anatidae|Anas|rubripes|175068|Avian
black duck-domestic duck hybrid|Anas rubripes x Anas sp.|Anseriformes|Anatidae|Anas|rubripes|NA|Avian
Chiloe wigeon|Anas sibilatrix|Anseriformes|Anatidae|Anas|sibilatrix|175111|Avian
Campbell duck|Anas sp.|Anseriformes|Anatidae|Anas|Unknown|175062|Avian
domestic duck|Anas sp.|Anseriformes|Anatidae|Anas|Unknown|175062|Avian
duck|Anas sp.|Anseriformes|Anatidae|Anas|Unknown|175062|Avian
teal|Anas sp.|Anseriformes|Anatidae|Anas|Unknown|175062|Avian
gadwall duck|Anas strepera|Anseriformes|Anatidae|Anas|strepera|175073|Avian
Pacific black duck|Anas superciliosa|Anseriformes|Anatidae|Anas|superciliosa|175115|Avian
yellow-billed duck|Anas undulata ruppelli|Anseriformes|Anatidae|Anas|undulata ruppelli|714716|Avian
